system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
sygma,canonical,15,evaluated1170,0.4775,0.453,0.5036,1170,2597,14.534,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,20,evaluated1170,0.489,0.4643,0.5148,1170,2597,19.097,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,30,evaluated1170,0.4963,0.4718,0.5222,1170,2597,27.494,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,50,evaluated1170,0.4979,0.4734,0.5235,1170,2597,40.935,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,1,evaluated1170,0.1536,0.14,0.1676,1170,2597,0.997,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,3,evaluated1170,0.2919,0.2719,0.3124,1170,2597,2.989,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,5,evaluated1170,0.3662,0.3437,0.3892,1170,2597,4.974,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,8,evaluated1170,0.427,0.4026,0.4513,1170,2597,7.88,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,10,evaluated1170,0.4497,0.4257,0.4739,1170,2597,9.485,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,15,evaluated1170,0.4644,0.4405,0.4886,1170,2597,11.014,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,20,evaluated1170,0.4652,0.4412,0.4895,1170,2597,11.033,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,30,evaluated1170,0.4652,0.4412,0.4895,1170,2597,11.033,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,50,evaluated1170,0.4652,0.4412,0.4895,1170,2597,11.033,11.033,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,1,evaluated1170,0.052,0.044,0.0604,1170,2597,0.909,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,3,evaluated1170,0.1328,0.1185,0.1472,1170,2597,2.686,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,5,evaluated1170,0.1894,0.1724,0.2066,1170,2597,4.366,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,8,evaluated1170,0.2476,0.2276,0.2679,1170,2597,6.585,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,10,evaluated1170,0.2803,0.2587,0.3025,1170,2597,7.797,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,15,evaluated1170,0.3338,0.3101,0.3572,1170,2597,9.856,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,20,evaluated1170,0.355,0.3306,0.3792,1170,2597,10.759,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,30,evaluated1170,0.3658,0.3404,0.391,1170,2597,11.24,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,50,evaluated1170,0.3666,0.3411,0.3921,1170,2597,11.402,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,1,evaluated1170,0.0712,0.0624,0.0804,1170,2597,0.997,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,3,evaluated1170,0.1883,0.1722,0.2049,1170,2597,2.99,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,5,evaluated1170,0.2846,0.2653,0.3049,1170,2597,4.979,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,8,evaluated1170,0.3858,0.3629,0.4093,1170,2597,7.929,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,10,evaluated1170,0.4305,0.4068,0.4548,1170,2597,9.846,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,15,evaluated1170,0.501,0.4763,0.5264,1170,2597,14.331,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,20,evaluated1170,0.536,0.5104,0.5623,1170,2597,18.15,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,30,evaluated1170,0.5649,0.5393,0.5912,1170,2597,24.009,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,50,evaluated1170,0.5795,0.5536,0.6056,1170,2597,29.213,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,1,evaluated1170,0.107,0.0955,0.1194,1170,2597,1.0,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,3,evaluated1170,0.2287,0.2111,0.2476,1170,2597,2.998,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,5,evaluated1170,0.3054,0.2854,0.3268,1170,2597,4.997,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,8,evaluated1170,0.3962,0.3739,0.4198,1170,2597,7.994,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,10,evaluated1170,0.439,0.416,0.463,1170,2597,9.992,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,15,evaluated1170,0.5295,0.505,0.5548,1170,2597,14.988,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,20,evaluated1170,0.5834,0.5585,0.6092,1170,2597,19.984,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,30,evaluated1170,0.6484,0.6233,0.6747,1170,2597,29.971,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,50,evaluated1170,0.7174,0.6925,0.743,1170,2597,49.88,97.939,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,1,evaluated1170,0.1167,0.1046,0.1294,1170,2597,1.0,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,3,evaluated1170,0.2472,0.2294,0.2668,1170,2597,2.996,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,5,evaluated1170,0.3285,0.3081,0.3508,1170,2597,4.954,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,8,evaluated1170,0.4024,0.3798,0.4269,1170,2597,7.669,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,10,evaluated1170,0.4394,0.4158,0.4646,1170,2597,9.2,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,15,evaluated1170,0.4875,0.4624,0.5139,1170,2597,11.949,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,20,evaluated1170,0.5052,0.4804,0.5315,1170,2597,13.458,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,30,evaluated1170,0.5144,0.4893,0.541,1170,2597,14.923,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,50,evaluated1170,0.5156,0.4903,0.5424,1170,2597,16.058,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,1,evaluated1170,0.1506,0.1371,0.1644,1170,2597,0.996,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,3,evaluated1170,0.3092,0.2891,0.3304,1170,2597,2.987,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,5,evaluated1170,0.3935,0.3709,0.4173,1170,2597,4.968,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,8,evaluated1170,0.4486,0.4252,0.4731,1170,2597,7.913,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,10,evaluated1170,0.4721,0.4486,0.4969,1170,2597,9.833,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,15,evaluated1170,0.5033,0.4786,0.5288,1170,2597,14.534,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,20,evaluated1170,0.516,0.4911,0.5415,1170,2597,19.097,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,30,evaluated1170,0.5233,0.4987,0.5486,1170,2597,27.494,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,50,evaluated1170,0.5248,0.5002,0.5501,1170,2597,40.935,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,1,evaluated1170,0.1548,0.141,0.169,1170,2597,0.997,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,3,evaluated1170,0.2792,0.2597,0.2996,1170,2597,2.989,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,5,evaluated1170,0.3539,0.3326,0.3763,1170,2597,4.975,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,8,evaluated1170,0.4201,0.3967,0.4446,1170,2597,7.927,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,10,evaluated1170,0.4478,0.4239,0.4722,1170,2597,9.817,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,15,evaluated1170,0.4817,0.4574,0.5069,1170,2597,13.116,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,20,evaluated1170,0.4825,0.4581,0.5075,1170,2597,13.279,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,30,evaluated1170,0.4825,0.4581,0.5075,1170,2597,13.279,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,50,evaluated1170,0.4825,0.4581,0.5075,1170,2597,13.279,13.279,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,1,evaluated1170,0.0635,0.0545,0.0729,1170,2597,0.909,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,3,evaluated1170,0.1602,0.1451,0.1755,1170,2597,2.686,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,5,evaluated1170,0.2264,0.2085,0.2446,1170,2597,4.366,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,8,evaluated1170,0.298,0.2775,0.3192,1170,2597,6.585,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,10,evaluated1170,0.3396,0.3182,0.3616,1170,2597,7.797,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,15,evaluated1170,0.4059,0.3829,0.4288,1170,2597,9.856,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,20,evaluated1170,0.4332,0.4093,0.4569,1170,2597,10.759,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,30,evaluated1170,0.4447,0.4203,0.4691,1170,2597,11.24,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,50,evaluated1170,0.4459,0.4213,0.4706,1170,2597,11.402,11.402,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,1,evaluated1170,0.082,0.0727,0.0918,1170,2597,0.997,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,3,evaluated1170,0.2029,0.1867,0.2198,1170,2597,2.99,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,5,evaluated1170,0.3019,0.2821,0.3225,1170,2597,4.979,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,8,evaluated1170,0.4062,0.3822,0.4305,1170,2597,7.929,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,10,evaluated1170,0.4524,0.4274,0.4778,1170,2597,9.846,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,15,evaluated1170,0.5252,0.4994,0.5515,1170,2597,14.331,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,20,evaluated1170,0.561,0.5339,0.5886,1170,2597,18.15,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,30,evaluated1170,0.5899,0.5625,0.6174,1170,2597,24.009,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,50,evaluated1170,0.6018,0.5739,0.6296,1170,2597,29.213,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,1,evaluated1170,0.1071,0.0956,0.1194,1170,2596,1.0,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,3,evaluated1170,0.2288,0.2112,0.2477,1170,2596,2.998,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,5,evaluated1170,0.3062,0.2863,0.3275,1170,2596,4.997,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,8,evaluated1170,0.3975,0.3751,0.4212,1170,2596,7.994,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,10,evaluated1170,0.4403,0.4173,0.4645,1170,2596,9.992,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,15,evaluated1170,0.5308,0.5063,0.5561,1170,2596,14.988,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,20,evaluated1170,0.5847,0.5597,0.6107,1170,2596,19.984,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,30,evaluated1170,0.6506,0.6256,0.6771,1170,2596,29.971,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,50,evaluated1170,0.72,0.6952,0.7454,1170,2596,49.877,97.85,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,1,evaluated1170,0.1167,0.1047,0.1294,1170,2596,1.0,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,3,evaluated1170,0.2473,0.2294,0.267,1170,2596,2.996,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,5,evaluated1170,0.3286,0.3082,0.351,1170,2596,4.954,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,8,evaluated1170,0.4025,0.3799,0.4271,1170,2596,7.669,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,10,evaluated1170,0.4395,0.4159,0.4649,1170,2596,9.2,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,15,evaluated1170,0.4877,0.4626,0.5141,1170,2596,11.949,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,20,evaluated1170,0.5054,0.4806,0.5318,1170,2596,13.458,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,30,evaluated1170,0.5146,0.4894,0.5413,1170,2596,14.923,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,50,evaluated1170,0.5158,0.4904,0.5426,1170,2596,16.058,17.068,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,1,evaluated1170,0.1506,0.1371,0.1645,1170,2596,0.996,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,3,evaluated1170,0.3093,0.2892,0.3306,1170,2596,2.987,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,5,evaluated1170,0.3945,0.3717,0.4181,1170,2596,4.968,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,8,evaluated1170,0.4503,0.4267,0.4751,1170,2596,7.913,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,10,evaluated1170,0.4742,0.4505,0.499,1170,2596,9.833,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,15,evaluated1170,0.5077,0.483,0.5334,1170,2596,14.534,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,20,evaluated1170,0.5216,0.4966,0.5473,1170,2596,19.097,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,30,evaluated1170,0.5289,0.5042,0.5543,1170,2596,27.494,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,50,evaluated1170,0.5304,0.5056,0.5556,1170,2596,40.935,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,1,evaluated1170,0.1606,0.1468,0.1749,1170,2596,0.997,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,3,evaluated1170,0.3082,0.2876,0.3295,1170,2596,2.989,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,5,evaluated1170,0.3883,0.3653,0.4119,1170,2596,4.974,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,8,evaluated1170,0.4542,0.4297,0.479,1170,2596,7.841,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,10,evaluated1170,0.4761,0.4522,0.5006,1170,2596,9.354,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,15,evaluated1170,0.4896,0.4657,0.5146,1170,2596,10.632,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,20,evaluated1170,0.49,0.4661,0.5149,1170,2596,10.643,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,30,evaluated1170,0.49,0.4661,0.5149,1170,2596,10.643,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,50,evaluated1170,0.49,0.4661,0.5149,1170,2596,10.643,10.643,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,1,evaluated1170,0.0636,0.0546,0.0729,1170,2596,0.909,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,3,evaluated1170,0.1602,0.1453,0.1756,1170,2596,2.686,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,5,evaluated1170,0.2265,0.2086,0.2447,1170,2596,4.366,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,8,evaluated1170,0.2993,0.2788,0.3204,1170,2596,6.583,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,10,evaluated1170,0.3417,0.3204,0.3635,1170,2596,7.795,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,15,evaluated1170,0.4091,0.3863,0.432,1170,2596,9.854,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,20,evaluated1170,0.4376,0.4138,0.4609,1170,2596,10.756,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,30,evaluated1170,0.4499,0.4254,0.4741,1170,2596,11.238,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,50,evaluated1170,0.4511,0.4264,0.4755,1170,2596,11.399,11.399,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,1,evaluated1170,0.0836,0.0743,0.0934,1170,2596,0.997,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,3,evaluated1170,0.2069,0.1906,0.2237,1170,2596,2.99,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,5,evaluated1170,0.3074,0.2879,0.3282,1170,2596,4.979,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,8,evaluated1170,0.4149,0.3916,0.4385,1170,2596,7.929,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,10,evaluated1170,0.4626,0.4387,0.4873,1170,2596,9.845,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,15,evaluated1170,0.5378,0.5131,0.5631,1170,2596,14.323,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,20,evaluated1170,0.5759,0.5503,0.6023,1170,2596,18.129,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,30,evaluated1170,0.6071,0.5812,0.6331,1170,2596,23.926,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,50,evaluated1170,0.6233,0.5971,0.6493,1170,2596,29.025,29.025,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,1,evaluated1170,0.0865,0.076,0.0978,1170,2590,1.0,97.247,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,3,evaluated1170,0.1776,0.1611,0.195,1170,2590,2.998,97.247,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,5,evaluated1170,0.234,0.2151,0.254,1170,2590,4.997,97.247,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
