system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
gloryx,canonical,15,comparison291,0.4857,0.4393,0.5341,291,665,14.34,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,20,comparison291,0.5158,0.4666,0.567,291,665,18.127,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,30,comparison291,0.5444,0.4954,0.5951,291,665,23.67,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,50,comparison291,0.5579,0.5086,0.6084,291,665,28.124,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,1,comparison291,0.0992,0.0777,0.1248,291,665,1.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,3,comparison291,0.2301,0.1955,0.2697,291,665,3.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,5,comparison291,0.3113,0.2729,0.354,291,665,5.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,8,comparison291,0.418,0.375,0.464,291,665,8.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,10,comparison291,0.4571,0.4125,0.5056,291,665,10.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,15,comparison291,0.5368,0.492,0.5839,291,665,15.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,20,comparison291,0.588,0.5415,0.6374,291,665,20.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,30,comparison291,0.6541,0.6041,0.7053,291,665,30.0,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey,50,comparison291,0.7038,0.6503,0.7562,291,665,49.931,98.12,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,1,comparison291,0.1053,0.0836,0.1306,291,665,1.0,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,3,comparison291,0.2406,0.2064,0.2793,291,665,2.997,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,5,comparison291,0.3203,0.2811,0.3636,291,665,4.966,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,8,comparison291,0.4015,0.3582,0.4493,291,665,7.601,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,10,comparison291,0.4331,0.3862,0.4837,291,665,9.034,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,15,comparison291,0.4797,0.4294,0.5332,291,665,11.529,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,20,comparison291,0.4872,0.4368,0.541,291,665,12.797,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,30,comparison291,0.4902,0.4399,0.5436,291,665,13.914,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchikey,50,comparison291,0.4902,0.4399,0.5436,291,665,14.773,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,1,comparison291,0.0406,0.026,0.0576,291,665,1.0,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,3,comparison291,0.1248,0.1002,0.1533,291,665,3.0,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,5,comparison291,0.2015,0.1705,0.2356,291,665,5.0,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,8,comparison291,0.2842,0.244,0.3263,291,665,7.983,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,10,comparison291,0.3534,0.3081,0.4012,291,665,9.952,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,15,comparison291,0.4722,0.4204,0.5253,291,665,14.663,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,20,comparison291,0.5143,0.4603,0.5685,291,665,18.883,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,30,comparison291,0.5489,0.4933,0.6041,291,665,25.612,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchikey,50,comparison291,0.5805,0.5252,0.6359,291,665,32.271,32.271,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,1,comparison291,0.1489,0.1232,0.1782,291,665,0.997,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,3,comparison291,0.2842,0.244,0.3292,291,665,2.99,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
